model,baseline,hallucination_mean,hallucination_std,abstained_mean,abstained_std,evidence_precision_mean,evidence_precision_std,evidence_f1_mean,evidence_f1_std,sar_mean,sar_std,over_confidence_mean,over_confidence_std,confusion_TP,confusion_FP,confusion_FN,confusion_TN,abstention_precision,abstention_recall,abstention_f1
claude,baseline1,0.12,0.3317,0.04,0.2,0.4262,0.2506,0.1028,0.0781,0.04,0.2,0.0,0.0,0,1,0,24,0.0,0.0,0.0
gpt,baseline1,0.08,0.2769,0.04,0.2,0.7339,0.213,0.0637,0.0599,0.04,0.2,0.0,0.0,0,1,0,24,0.0,0.0,0.0
gemini,baseline1,0.0,0.0,0.0,0.0,0.155,0.2486,0.0157,0.0214,0.0,0.0,0.0,0.0,0,0,0,25,0.0,0.0,0.0
llama,baseline1,0.16,0.3742,0.12,0.3317,0.3647,0.1582,0.0799,0.0462,0.12,0.3317,0.0,0.0,0,3,0,22,0.0,0.0,0.0
claude,baseline2,0.24,0.4359,0.0,0.0,0.3115,0.2047,0.2793,0.2356,0.28,0.4583,0.12,0.3317,0,0,0,25,0.0,0.0,0.0
gpt,baseline2,0.0,0.0,0.04,0.2,0.6773,0.3009,0.4536,0.3275,0.64,0.4899,0.0,0.0,0,1,0,24,0.0,0.0,0.0
gemini,baseline2,0.0,0.0,0.0,0.0,0.1276,0.3077,0.0481,0.1445,0.04,0.2,0.0,0.0,0,0,0,25,0.0,0.0,0.0
llama,baseline2,0.44,0.5066,0.0,0.0,0.2856,0.2108,0.2311,0.2068,0.2,0.4082,0.2,0.4082,0,0,0,25,0.0,0.0,0.0
claude,baseline3,0.36,0.4899,0.0,0.0,0.2426,0.1812,0.3136,0.1911,0.36,0.4899,0.0,0.0,0,0,0,25,0.0,0.0,0.0
gpt,baseline3,0.04,0.2,0.04,0.2,0.611,0.2172,0.5098,0.1742,0.88,0.3317,0.0,0.0,0,1,0,24,0.0,0.0,0.0
gemini,baseline3,0.0,0.0,0.0,0.0,0.0361,0.1039,0.0456,0.1296,0.12,0.3317,0.0,0.0,0,0,0,25,0.0,0.0,0.0
llama,baseline3,0.64,0.4899,0.08,0.2769,0.2294,0.1252,0.3023,0.1353,0.28,0.4583,0.0,0.0,0,2,0,23,0.0,0.0,0.0
claude,proposed,0.0,0.0,0.36,0.4899,0.3524,0.3382,0.3258,0.2663,0.8,0.4082,0.0,0.0,0,9,0,16,0.0,0.0,0.0
gpt,proposed,0.0,0.0,0.32,0.4761,0.4799,0.4401,0.2739,0.2698,0.8,0.4082,0.0,0.0,0,8,0,17,0.0,0.0,0.0
gemini,proposed,0.0,0.0,0.16,0.3742,0.04,0.2,0.0215,0.1077,0.2,0.4082,0.0,0.0,0,4,0,21,0.0,0.0,0.0
llama,proposed,0.04,0.2,0.76,0.4359,0.1618,0.3267,0.0978,0.195,0.92,0.2769,0.0,0.0,0,19,0,6,0.0,0.0,0.0
